#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = ./OSU_B1_FASP_Elite_03212014.psm.txt
#	
#	pep{Run1} = ./OSU_B1_FASP_Elite_03212014.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 2
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 192
#	Target_Proteins_Before_Filtering = 12601
#	Total_Proteins_Before_Filtering = 12793
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 1
#	Target_Proteins_After_Filtering = 3378
#	Total_Proteins_After_Filtering = 3379
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.00029594554602
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
2504821941	1	3	1	3	2.0	2.0	2504821941	T
2504822406	3	19	3	81	12.6068181818	12.61	2504822406	T
2504822510	2	10	2	14	9.66666666667	9.67	2504822510	T
2504822914	1	2	2	3	3.0	3.0	2504822914	T
WP_002695050.1	1	6	2	11	6.25	6.25	WP_002695050.1	T
WP_002696697.1	1	7	1	7	1.77142857143	1.77	WP_002696697.1	T
WP_002698249.1	1	15	1	24	3.17981684982	3.18	WP_002698249.1	T
WP_002957960.1	1	3	2	4	3.0	3.0	WP_002957960.1	T
WP_004568689.1	1	17	4	72	38.6666666667	38.67	WP_004568689.1	T
WP_004568736.1	2	7	3	11	4.46666666667	4.47	WP_004568736.1	T
WP_004568745.1	1	3	1	18	4.4	4.4	WP_004568745.1	T
WP_004569044.1	2	10	2	13	6.85	6.85	WP_004569044.1	T
WP_004569270.1	1	6	1	12	4.06666666667	4.07	WP_004569270.1	T
WP_004569349.1	1	3	1	3	2.0	2.0	WP_004569349.1	T
WP_004569562.1	1	8	1	17	5.53333333333	5.53	WP_004569562.1	T
WP_004569694.1	2	4	5	8	8.0	8.0	WP_004569694.1	T
WP_004569897.1	2	22	4	39	16.9333333333	16.93	WP_004569897.1	T
WP_004569964.1	1	5	1	5	3.0	3.0	WP_004569964.1	T
WP_004570093.1	3	19	8	44	14.2102564103	14.21	WP_004570093.1	T
WP_004570164.1	4	17	9	268	46.3519230769	46.35	WP_004570164.1	T
WP_004570370.1	1	4	1	4	4.0	4.0	WP_004570370.1	T
WP_004570884.1	1	3	1	3	3.0	3.0	WP_004570884.1	T
WP_004570930.1	1	9	1	11	6.2	6.2	WP_004570930.1	T
WP_005497946.1	1	2	1	2	2.0	2.0	WP_005497946.1	T
WP_005498534.1	1	2	1	2	1.1	1.1	WP_005498534.1	T
WP_005499982.1	3	5	3	8	8.0	8.0	WP_005499982.1	T
WP_005502463.1	1	2	1	2	1.11111111111	1.11	WP_005502463.1	T
WP_006791696.1	2	6	2	11	3.45454545455	3.45	WP_006791696.1	T
WP_006791993.1	1	3	1	3	3.0	3.0	WP_006791993.1	T
WP_006794192.1	3	3	4	4	4.0	4.0	WP_006794192.1	T
WP_006794244.1	1	5	1	5	4.25	4.25	WP_006794244.1	T
WP_006794718.1	1	4	1	5	4.5	4.5	WP_006794718.1	T
WP_006795282.1	3	14	4	23	9.76666666667	9.77	WP_006795282.1	T
WP_006795803.1	1	7	1	13	4.45238095238	4.45	WP_006795803.1	T
WP_006796106.1	1	2	1	2	1.11111111111	1.11	WP_006796106.1	T
WP_006796300.1	1	2	1	2	1.5	1.5	WP_006796300.1	T
WP_006796887.1	1	13	4	199	33.5876373626	33.59	WP_006796887.1	T
WP_006797149.1	1	3	1	3	2.0	2.0	WP_006797149.1	T
WP_006797458.1	1	6	3	11	6.86666666667	6.87	WP_006797458.1	T
WP_006954745.1	1	4	1	4	2.1	2.1	WP_006954745.1	T
WP_006956430.1	1	7	9	17	12.0641025641	12.06	WP_006956430.1	T
WP_006956842.1	1	9	1	16	5.5	5.5	WP_006956842.1	T
WP_007017029.1	1	3	1	4	1.54285714286	1.54	WP_007017029.1	T
WP_007017875.1	1	2	1	2	1.25	1.25	WP_007017875.1	T
WP_007018241.1	2	3	2	4	2.66666666667	2.67	WP_007018241.1	T
WP_007019243.1	1	10	1	36	8.46666666667	8.47	WP_007019243.1	T
WP_007019909.1	1	5	1	8	8.0	8.0	WP_007019909.1	T
WP_007021204.1	1	2	1	2	1.11111111111	1.11	WP_007021204.1	T
WP_007021431.1	1	2	4	5	5.0	5.0	WP_007021431.1	T
WP_007022983.1	2	2	2	2	2.0	2.0	WP_007022983.1	T
WP_007093483.1	1	3	1	3	3.0	3.0	WP_007093483.1	T
WP_007093948.1	1	3	1	6	2.0	2.0	WP_007093948.1	T
WP_007094761.1	4	14	5	26	9.21978021978	9.22	WP_007094761.1	T
WP_007095558.1	2	3	3	4	3.5	3.5	WP_007095558.1	T
WP_007095944.1	1	2	1	2	1.08333333333	1.08	WP_007095944.1	T
WP_007096385.1	1	11	1	42	10.7235042735	10.72	WP_007096385.1	T
WP_007096733.1	1	7	1	8	5.58333333333	5.58	WP_007096733.1	T
WP_007097042.1	1	25	2	46	5.9923951049	5.99	WP_007097042.1	T
WP_007196236.1	1	8	8	22	12.3214285714	12.32	WP_007196236.1	T
WP_007197012.1	1	2	1	2	2.0	2.0	WP_007197012.1	T
WP_007206034.1	2	3	3	4	3.2	3.2	WP_007206034.1	T
WP_007206596.1	1	11	1	14	3.43333333333	3.43	WP_007206596.1	T
WP_007206597.1	2	15	2	25	8.28928571429	8.29	WP_007206597.1	T
WP_007233519.1	3	13	5	26	10.1666666667	10.17	WP_007233519.1	T
WP_007234541.1	3	3	4	4	4.0	4.0	WP_007234541.1	T
WP_008034202.1	1	2	1	2	2.0	2.0	WP_008034202.1	T
WP_008035404.1	2	6	2	7	4.5	4.5	WP_008035404.1	T
WP_008035425.1	1	2	1	2	2.0	2.0	WP_008035425.1	T
WP_008036223.1	1	4	1	4	4.0	4.0	WP_008036223.1	T
WP_008105804.1	1	4	1	8	1.66666666667	1.67	WP_008105804.1	T
WP_008105965.1	1	3	1	3	1.4	1.4	WP_008105965.1	T
WP_008106096.1	1	6	1	12	9.43333333333	9.43	WP_008106096.1	T
WP_008106434.1	4	20	5	71	38.0	38.0	WP_008106434.1	T
WP_008106747.1	1	2	1	2	1.5	1.5	WP_008106747.1	T
WP_008107219.1	2	2	2	2	2.0	2.0	WP_008107219.1	T
WP_008182987.1	1	2	1	2	1.2	1.2	WP_008182987.1	T
WP_008183783.1	1	3	1	3	1.66666666667	1.67	WP_008183783.1	T
WP_008233031.1	1	11	2	15	4.43333333333	4.43	WP_008233031.1	T
WP_008254470.1	4	5	5	13	5.8	5.8	WP_008254470.1	T
WP_008254719.1	1	2	1	2	1.5	1.5	WP_008254719.1	T
WP_008255067.1	1	3	1	4	2.5	2.5	WP_008255067.1	T
WP_008255093.1	1	3	1	6	2.25	2.25	WP_008255093.1	T
WP_008255296.1	1	4	1	4	3.0	3.0	WP_008255296.1	T
WP_008256583.1	1	12	1	115	11.795970696	11.8	WP_008256583.1	T
WP_008270928.1	1	38	1	90	13.1165190365	13.12	WP_008270928.1	T
WP_008490577.1	1	2	1	2	1.5	1.5	WP_008490577.1	T
WP_008544099.1	8	21	18	36	24.91003663	24.91	WP_008544099.1	T
WP_008544218.1	3	11	3	16	7.45454545455	7.45	WP_008544218.1	T
WP_008544433.1	1	2	1	2	2.0	2.0	WP_008544433.1	T
WP_008544455.1	2	4	2	5	5.0	5.0	WP_008544455.1	T
WP_008544481.1	2	4	2	4	3.0	3.0	WP_008544481.1	T
WP_008544506.1	3	13	3	24	22.3333333333	22.33	WP_008544506.1	T
WP_008544510.1	2	8	2	13	7.5	7.5	WP_008544510.1	T
WP_008544542.1	1	2	1	2	2.0	2.0	WP_008544542.1	T
WP_008544582.1	3	3	3	3	3.0	3.0	WP_008544582.1	T
WP_008544653.1	5	10	6	24	10.85	10.85	WP_008544653.1	T
WP_008544656.1	6	8	8	10	9.16666666667	9.17	WP_008544656.1	T
WP_008544772.1	17	24	53	74	59.45	59.45	WP_008544772.1	T
WP_008544794.1	1	4	1	5	4.0	4.0	WP_008544794.1	T
WP_008544795.1	1	6	1	6	3.5	3.5	WP_008544795.1	T
WP_008544821.1	2	3	2	3	3.0	3.0	WP_008544821.1	T
WP_008544829.1	1	8	1	41	17.6666666667	17.67	WP_008544829.1	T
WP_008544851.1	2	2	2	2	2.0	2.0	WP_008544851.1	T
WP_008544899.1	4	4	6	6	6.0	6.0	WP_008544899.1	T
WP_008544939.1	1	13	1	26	12.6666666667	12.67	WP_008544939.1	T
WP_008544944.1	5	6	12	14	14.0	14.0	WP_008544944.1	T
WP_008544948.1	1	2	1	2	2.0	2.0	WP_008544948.1	T
WP_008544955.1	17	19	40	44	42.0	42.0	WP_008544955.1	T
WP_008544969.1	1	3	1	3	3.0	3.0	WP_008544969.1	T
WP_008544970.1	1	6	2	8	6.0	6.0	WP_008544970.1	T
