#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = ./OSU_B5_FASP_Elite_02282014.psm.txt
#	
#	pep{Run1} = ./OSU_B5_FASP_Elite_02282014.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 2
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 149
#	Target_Proteins_Before_Filtering = 10413
#	Total_Proteins_Before_Filtering = 10562
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 1
#	Target_Proteins_After_Filtering = 2772
#	Total_Proteins_After_Filtering = 2773
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.000360620266859
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
2504821562	1	3	1	3	2.33333333333	2.33	2504821562	T
2504822406	1	18	1	93	13.2976190476	13.3	2504822406	T
2504822510	1	9	2	18	10.5	10.5	2504822510	T
Rev_t0|contig-74315000001_3	1	2	2	3	3.0	3.0	Rev_t0|contig-74315000001_3 Decoy	F
WP_002694053.1	1	4	1	9	3.83333333333	3.83	WP_002694053.1	T
WP_002696697.1	2	7	2	10	3.31416490486	3.31	WP_002696697.1	T
WP_002697271.1	1	2	1	2	1.16666666667	1.17	WP_002697271.1	T
WP_002699000.1	1	11	1	87	7.59523809524	7.6	WP_002699000.1	T
WP_004568714.1	1	3	1	4	3.0	3.0	WP_004568714.1	T
WP_004568736.1	1	3	1	4	1.53333333333	1.53	WP_004568736.1	T
WP_004569044.1	1	5	1	7	2.35	2.35	WP_004569044.1	T
WP_004569562.1	1	6	1	7	2.45	2.45	WP_004569562.1	T
WP_004569694.1	3	4	4	6	6.0	6.0	WP_004569694.1	T
WP_004569882.1	1	2	1	2	1.33333333333	1.33	WP_004569882.1	T
WP_004570093.1	3	14	6	25	9.98333333333	9.98	WP_004570093.1	T
WP_004570164.1	1	14	2	139	22.7661654135	22.77	WP_004570164.1	T
WP_004570172.1	1	42	1	88	15.9511173609	15.95	WP_004570172.1	T
WP_004570407.1	1	2	1	2	2.0	2.0	WP_004570407.1	T
WP_004571139.1	1	2	1	2	2.0	2.0	WP_004571139.1	T
WP_005499982.1	3	5	4	9	9.0	9.0	WP_005499982.1	T
WP_006795282.1	3	13	6	27	13.15	13.15	WP_006795282.1	T
WP_006795709.1	1	3	1	13	3.4	3.4	WP_006795709.1	T
WP_006795803.1	1	7	1	13	5.5	5.5	WP_006795803.1	T
WP_006796300.1	1	2	1	2	1.33333333333	1.33	WP_006796300.1	T
WP_006796321.1	1	31	1	195	27.6281746032	27.63	WP_006796321.1	T
