#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = ./OSU_B6_FASP_Elite_03242014.psm.txt
#	
#	pep{Run1} = ./OSU_B6_FASP_Elite_03242014.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 2
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 154
#	Target_Proteins_Before_Filtering = 10369
#	Total_Proteins_Before_Filtering = 10523
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 2
#	Target_Proteins_After_Filtering = 2860
#	Total_Proteins_After_Filtering = 2862
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.000698812019567
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
2504821659	1	2	1	3	1.66666666667	1.67	2504821659	T
2504822406	2	22	4	84	17.2935064935	17.29	2504822406	T
2504822510	1	9	2	12	7.75	7.75	2504822510	T
Rev_WP_006792448.1	2	2	2	2	2.0	2.0	Rev_WP_006792448.1 Decoy	F
Rev_merged|18684_2	2	2	2	2	2.0	2.0	Rev_merged|18684_2 Decoy	F
WP_002696697.1	1	7	1	10	1.87435897436	1.87	WP_002696697.1	T
WP_002697271.1	1	2	1	2	1.11111111111	1.11	WP_002697271.1	T
WP_002697891.1	1	5	1	7	2.1	2.1	WP_002697891.1	T
WP_002699000.1	1	10	1	50	3.95158730159	3.95	WP_002699000.1	T
WP_004568746.1	2	17	2	65	11.502036852	11.5	WP_004568746.1	T
WP_004569694.1	3	4	3	4	4.0	4.0	WP_004569694.1	T
WP_004570093.1	1	5	3	12	4.875	4.88	WP_004570093.1	T
WP_004570164.1	2	17	6	76	14.0843700159	14.08	WP_004570164.1	T
WP_004570171.1	1	46	1	94	17.4718420468	17.47	WP_004570171.1	T
WP_005503277.1	1	7	1	16	2.28717948718	2.29	WP_005503277.1	T
WP_006795200.1	2	2	2	2	2.0	2.0	WP_006795200.1	T
WP_006795282.1	3	15	5	30	14.9333333333	14.93	WP_006795282.1	T
WP_006795466.1	1	6	1	6	3.0	3.0	WP_006795466.1	T
WP_006795709.1	1	3	1	5	3.0	3.0	WP_006795709.1	T
WP_006795783.1	1	2	1	2	2.0	2.0	WP_006795783.1	T
WP_006796887.1	1	16	2	74	11.9002791069	11.9	WP_006796887.1	T
WP_006954567.1	1	4	2	5	4.0	4.0	WP_006954567.1	T
WP_007016554.1	1	4	1	7	2.3	2.3	WP_007016554.1	T
WP_007018319.1	2	10	2	20	4.13333333333	4.13	WP_007018319.1	T
WP_007022480.1	1	2	1	3	2.0	2.0	WP_007022480.1	T
