#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = ./output_AAhybrid_c100/OSU_T1B_FASP_Elite_08202013.psm.txt
#	
#	pep{Run1} = ./output_AAhybrid_c100/OSU_T1B_FASP_Elite_08202013.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 2
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 64
#	Target_Proteins_Before_Filtering = 5497
#	Total_Proteins_Before_Filtering = 5561
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 0
#	Target_Proteins_After_Filtering = 1190
#	Total_Proteins_After_Filtering = 1190
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.0
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
2504820262	1	2	1	2	2.0	2.0	2504820262	T
2504820530	1	4	1	4	3.5	3.5	2504820530	T
2504820972	1	5	1	5	4.5	4.5	2504820972	T
2504821030	1	4	1	9	9.0	9.0	2504821030	T
2504821063	1	9	1	12	9.33333333333	9.33	2504821063	T
2504821384	1	5	1	5	5.0	5.0	2504821384	T
2504821648	1	17	1	20	7.56035353535	7.56	2504821648	T
2504821850	1	2	1	2	1.5	1.5	2504821850	T
2504822348	1	7	1	7	4.2	4.2	2504822348	T
2504822406	1	13	1	44	21.9333333333	21.93	2504822406	T
2504822420	2	5	2	5	4.0	4.0	2504822420	T
2504822913	1	15	2	28	16.2992424242	16.3	2504822913	T
WP_002698249.1	1	14	1	23	5.51587301587	5.52	WP_002698249.1	T
WP_002702193.1	1	8	1	20	4.44891304348	4.45	WP_002702193.1	T
WP_002957960.1	4	13	7	22	18.5	18.5	WP_002957960.1	T
WP_002958879.1	2	4	5	8	8.0	8.0	WP_002958879.1	T
WP_002959471.1	1	6	1	6	3.08333333333	3.08	WP_002959471.1	T
WP_004568746.1	2	15	2	33	18.0	18.0	WP_004568746.1	T
WP_004568882.1	1	3	1	5	2.33333333333	2.33	WP_004568882.1	T
WP_004569760.1	1	3	1	4	4.0	4.0	WP_004569760.1	T
WP_004570093.1	1	6	1	7	5.5	5.5	WP_004570093.1	T
WP_004571066.1	1	4	1	4	4.0	4.0	WP_004571066.1	T
WP_004571188.1	3	11	3	14	6.91666666667	6.92	WP_004571188.1	T
WP_005496618.1	1	5	1	10	2.42857142857	2.43	WP_005496618.1	T
WP_005497139.1	1	2	2	4	4.0	4.0	WP_005497139.1	T
WP_005499768.1	3	3	3	3	3.0	3.0	WP_005499768.1	T
WP_005499982.1	1	3	1	4	3.16666666667	3.17	WP_005499982.1	T
WP_005499989.1	1	2	1	2	2.0	2.0	WP_005499989.1	T
WP_005500802.1	1	2	1	2	2.0	2.0	WP_005500802.1	T
WP_005501111.1	2	8	3	22	8.0	8.0	WP_005501111.1	T
WP_005501677.1	1	7	1	30	9.0	9.0	WP_005501677.1	T
WP_005502461.1	1	3	1	3	1.4	1.4	WP_005502461.1	T
WP_005503272.1	2	15	2	27	8.4	8.4	WP_005503272.1	T
WP_005503277.1	1	8	1	18	3.53502415459	3.54	WP_005503277.1	T
WP_006791237.1	2	4	2	4	4.0	4.0	WP_006791237.1	T
WP_006791239.1	2	2	2	2	2.0	2.0	WP_006791239.1	T
WP_006791253.1	4	17	4	18	13.3409090909	13.34	WP_006791253.1	T
WP_006791258.1	1	5	1	5	3.33333333333	3.33	WP_006791258.1	T
WP_006791259.1	9	32	21	51	36.8103535354	36.81	WP_006791259.1	T
WP_006791260.1	9	28	9	43	27.0666666667	27.07	WP_006791260.1	T
WP_006791263.1	5	7	17	28	23.0	23.0	WP_006791263.1	T
WP_006791264.1	2	2	3	3	3.0	3.0	WP_006791264.1	T
WP_006791269.1	2	6	2	7	7.0	7.0	WP_006791269.1	T
WP_006791307.1	7	8	9	10	9.5	9.5	WP_006791307.1	T
WP_006791315.1	7	22	9	31	27.6666666667	27.67	WP_006791315.1	T
WP_006791316.1	6	6	11	11	11.0	11.0	WP_006791316.1	T
WP_006791335.1	6	12	9	21	14.8666666667	14.87	WP_006791335.1	T
WP_006791344.1	1	6	1	7	7.0	7.0	WP_006791344.1	T
WP_006791349.1	1	5	1	6	6.0	6.0	WP_006791349.1	T
WP_006791414.1	1	3	1	3	3.0	3.0	WP_006791414.1	T
WP_006791415.1	2	2	2	2	2.0	2.0	WP_006791415.1	T
WP_006791429.1	2	4	2	4	2.66666666667	2.67	WP_006791429.1	T
WP_006791431.1	2	4	3	5	5.0	5.0	WP_006791431.1	T
WP_006791478.1	1	2	1	2	2.0	2.0	WP_006791478.1	T
WP_006791482.1	3	4	3	5	3.66666666667	3.67	WP_006791482.1	T
WP_006791489.1	4	9	4	15	10.1666666667	10.17	WP_006791489.1	T
WP_006791493.1	1	2	1	3	3.0	3.0	WP_006791493.1	T
WP_006791494.1	1	7	2	8	8.0	8.0	WP_006791494.1	T
WP_006791523.1	2	3	2	3	3.0	3.0	WP_006791523.1	T
WP_006791553.1	1	2	1	2	2.0	2.0	WP_006791553.1	T
WP_006791595.1	5	9	6	11	10.5	10.5	WP_006791595.1	T
WP_006791641.1	14	20	16	28	24.5	24.5	WP_006791641.1	T
WP_006791671.1	1	2	1	2	1.5	1.5	WP_006791671.1	T
WP_006791681.1	14	15	20	21	20.5	20.5	WP_006791681.1	T
WP_006791696.1	7	12	8	13	12.1666666667	12.17	WP_006791696.1	T
WP_006791710.1	2	2	2	2	2.0	2.0	WP_006791710.1	T
WP_006791718.1	3	6	4	8	8.0	8.0	WP_006791718.1	T
WP_006791762.1	3	3	4	4	4.0	4.0	WP_006791762.1	T
WP_006791770.1	1	2	2	3	2.5	2.5	WP_006791770.1	T
WP_006791778.1	3	4	3	4	4.0	4.0	WP_006791778.1	T
WP_006791805.1	3	3	3	3	3.0	3.0	WP_006791805.1	T
WP_006791848.1	1	2	1	2	2.0	2.0	WP_006791848.1	T
WP_006791868.1	2	4	2	4	4.0	4.0	WP_006791868.1	T
WP_006791869.1	1	3	1	3	3.0	3.0	WP_006791869.1	T
WP_006791880.1	1	3	1	3	3.0	3.0	WP_006791880.1	T
WP_006791910.1	2	2	2	2	2.0	2.0	WP_006791910.1	T
WP_006791925.1	2	3	2	3	3.0	3.0	WP_006791925.1	T
WP_006791943.1	1	6	1	9	6.33333333333	6.33	WP_006791943.1	T
WP_006791944.1	2	7	3	9	9.0	9.0	WP_006791944.1	T
WP_006791968.1	2	5	3	7	7.0	7.0	WP_006791968.1	T
WP_006791969.1	4	6	6	10	10.0	10.0	WP_006791969.1	T
WP_006791988.1	3	3	3	3	3.0	3.0	WP_006791988.1	T
WP_006791990.1	1	2	1	2	2.0	2.0	WP_006791990.1	T
WP_006792119.1	2	2	2	2	2.0	2.0	WP_006792119.1	T
WP_006792244.1	2	2	2	2	2.0	2.0	WP_006792244.1	T
WP_006792312.1	3	7	4	8	7.5	7.5	WP_006792312.1	T
WP_006792341.1	1	2	2	4	2.66666666667	2.67	WP_006792341.1	T
WP_006792343.1	4	4	4	4	4.0	4.0	WP_006792343.1	T
WP_006792366.1	3	5	3	5	5.0	5.0	WP_006792366.1	T
WP_006792379.1	2	2	2	2	2.0	2.0	WP_006792379.1	T
WP_006792381.1	11	13	12	17	17.0	17.0	WP_006792381.1	T
WP_006792382.1	12	13	31	32	31.3333333333	31.33	WP_006792382.1	T
WP_006792384.1	2	2	3	3	3.0	3.0	WP_006792384.1	T
WP_006792386.1	4	6	4	6	6.0	6.0	WP_006792386.1	T
WP_006792401.1	1	3	1	5	5.0	5.0	WP_006792401.1	T
WP_006792408.1	1	4	1	8	8.0	8.0	WP_006792408.1	T
WP_006792431.1	2	5	4	8	8.0	8.0	WP_006792431.1	T
WP_006792432.1	7	15	7	17	15.1666666667	15.17	WP_006792432.1	T
WP_006792504.1	1	2	1	2	2.0	2.0	WP_006792504.1	T
WP_006792538.1	5	9	5	10	7.5	7.5	WP_006792538.1	T
WP_006792539.1	2	7	3	9	6.0	6.0	WP_006792539.1	T
WP_006792574.1	4	4	4	4	4.0	4.0	WP_006792574.1	T
WP_006792635.1	9	12	12	15	15.0	15.0	WP_006792635.1	T
WP_006792687.1	2	2	3	3	3.0	3.0	WP_006792687.1	T
WP_006792709.1	1	4	1	5	5.0	5.0	WP_006792709.1	T
WP_006792757.1	1	3	1	3	3.0	3.0	WP_006792757.1	T
WP_006792812.1	3	8	3	8	7.5	7.5	WP_006792812.1	T
WP_006792815.1	9	13	11	22	22.0	22.0	WP_006792815.1	T
WP_006792839.1	2	3	2	3	3.0	3.0	WP_006792839.1	T
WP_006792872.1	3	4	3	4	4.0	4.0	WP_006792872.1	T
WP_006792880.1	3	12	4	25	21.7	21.7	WP_006792880.1	T
WP_006793019.1	3	4	4	6	5.0	5.0	WP_006793019.1	T
WP_006793038.1	3	3	3	3	3.0	3.0	WP_006793038.1	T
WP_006793072.1	2	2	2	2	2.0	2.0	WP_006793072.1	T
WP_006793093.1	2	2	3	3	3.0	3.0	WP_006793093.1	T
WP_006793102.1	2	3	2	3	3.0	3.0	WP_006793102.1	T
WP_006793130.1	2	2	3	3	3.0	3.0	WP_006793130.1	T
WP_006793137.1	1	2	1	2	2.0	2.0	WP_006793137.1	T
WP_006793149.1	3	4	3	4	4.0	4.0	WP_006793149.1	T
WP_006793157.1	2	2	2	2	2.0	2.0	WP_006793157.1	T
WP_006793198.1	4	8	5	11	11.0	11.0	WP_006793198.1	T
WP_006793229.1	1	2	1	5	2.33333333333	2.33	WP_006793229.1	T
WP_006793239.1	3	8	3	9	8.5	8.5	WP_006793239.1	T
WP_006793241.1	2	2	3	3	3.0	3.0	WP_006793241.1	T
WP_006793305.1	1	2	1	3	3.0	3.0	WP_006793305.1	T
WP_006793310.1	4	6	5	8	8.0	8.0	WP_006793310.1	T
WP_006793342.1	4	4	5	5	5.0	5.0	WP_006793342.1	T
WP_006793343.1	2	2	2	2	2.0	2.0	WP_006793343.1	T
WP_006793372.1	5	5	6	6	6.0	6.0	WP_006793372.1	T
WP_006793373.1	4	5	8	9	8.5	8.5	WP_006793373.1	T
WP_006793378.1	13	20	14	24	19.3333333333	19.33	WP_006793378.1	T
WP_006793401.1	2	3	2	3	3.0	3.0	WP_006793401.1	T
WP_006793415.1	2	2	2	2	2.0	2.0	WP_006793415.1	T
WP_006793424.1	2	2	2	2	2.0	2.0	WP_006793424.1	T
WP_006793479.1	2	2	2	2	2.0	2.0	WP_006793479.1	T
WP_006793485.1	5	5	6	6	6.0	6.0	WP_006793485.1	T
WP_006793595.1	2	3	2	3	2.5	2.5	WP_006793595.1	T
WP_006793628.1	3	3	3	3	3.0	3.0	WP_006793628.1	T
WP_006793639.1	3	5	6	8	8.0	8.0	WP_006793639.1	T
WP_006793704.1	1	4	1	5	5.0	5.0	WP_006793704.1	T
WP_006793706.1	2	2	2	2	2.0	2.0	WP_006793706.1	T
WP_006793720.1	1	6	1	8	7.0	7.0	WP_006793720.1	T
WP_006793724.1	3	3	7	7	7.0	7.0	WP_006793724.1	T
WP_006793757.1	1	2	1	2	2.0	2.0	WP_006793757.1	T
WP_006793851.1	6	19	7	52	22.6666666667	22.67	WP_006793851.1	T
WP_006793889.1	1	2	2	3	2.5	2.5	WP_006793889.1	T
WP_006793906.1	1	4	1	5	5.0	5.0	WP_006793906.1	T
WP_006793927.1	1	3	1	4	4.0	4.0	WP_006793927.1	T
WP_006793937.1	5	10	5	12	12.0	12.0	WP_006793937.1	T
WP_006793943.1	1	2	2	3	3.0	3.0	WP_006793943.1	T
WP_006793951.1	3	15	3	17	12.6666666667	12.67	WP_006793951.1	T
WP_006793982.1	1	4	1	6	5.5	5.5	WP_006793982.1	T
WP_006793990.1	4	10	4	20	15.5	15.5	WP_006793990.1	T
WP_006794017.1	3	3	3	3	3.0	3.0	WP_006794017.1	T
WP_006794035.1	2	4	3	5	4.5	4.5	WP_006794035.1	T
WP_006794042.1	4	4	5	5	5.0	5.0	WP_006794042.1	T
WP_006794046.1	7	11	7	13	13.0	13.0	WP_006794046.1	T
WP_006794158.1	1	7	1	10	8.0	8.0	WP_006794158.1	T
WP_006794164.1	4	20	8	47	39.4285714286	39.43	WP_006794164.1	T
WP_006794178.1	1	2	1	2	2.0	2.0	WP_006794178.1	T
WP_006794189.1	1	2	1	2	2.0	2.0	WP_006794189.1	T
WP_006794192.1	4	4	5	5	5.0	5.0	WP_006794192.1	T
WP_006794244.1	3	12	4	20	17.75	17.75	WP_006794244.1	T
WP_006794249.1	1	6	1	9	9.0	9.0	WP_006794249.1	T
WP_006794315.1	3	3	4	4	4.0	4.0	WP_006794315.1	T
WP_006794331.1	2	4	2	5	5.0	5.0	WP_006794331.1	T
WP_006794349.1	2	3	2	3	2.5	2.5	WP_006794349.1	T
WP_006794386.1	2	2	2	2	2.0	2.0	WP_006794386.1	T
WP_006794388.1	2	3	2	3	3.0	3.0	WP_006794388.1	T
WP_006794390.1	1	2	1	2	2.0	2.0	WP_006794390.1	T
WP_006794443.1	2	2	2	2	2.0	2.0	WP_006794443.1	T
WP_006794444.1	3	8	3	8	5.33333333333	5.33	WP_006794444.1	T
WP_006794447.1	2	2	2	2	2.0	2.0	WP_006794447.1	T
WP_006794455.1	7	7	10	10	10.0	10.0	WP_006794455.1	T
WP_006794463.1	2	2	3	3	3.0	3.0	WP_006794463.1	T
WP_006794470.1	1	2	1	2	2.0	2.0	WP_006794470.1	T
WP_006794496.1	2	4	2	4	3.5	3.5	WP_006794496.1	T
WP_006794498.1	1	3	1	3	3.0	3.0	WP_006794498.1	T
WP_006794505.1	1	2	1	2	2.0	2.0	WP_006794505.1	T
WP_006794538.1	1	2	2	4	4.0	4.0	WP_006794538.1	T
WP_006794548.1	6	13	8	21	19.8333333333	19.83	WP_006794548.1	T
WP_006794550.1	3	6	3	6	5.0	5.0	WP_006794550.1	T
WP_006794582.1	2	2	2	2	2.0	2.0	WP_006794582.1	T
WP_006794586.1	3	4	3	7	5.0	5.0	WP_006794586.1	T
WP_006794614.1	2	5	2	5	5.0	5.0	WP_006794614.1	T
WP_006794663.1	2	4	4	11	6.5	6.5	WP_006794663.1	T
WP_006794684.1	1	2	1	2	2.0	2.0	WP_006794684.1	T
WP_006794718.1	3	5	10	12	10.75	10.75	WP_006794718.1	T
WP_006794719.1	2	8	3	54	24.6666666667	24.67	WP_006794719.1	T
WP_006794720.1	5	9	8	17	17.0	17.0	WP_006794720.1	T
WP_006794721.1	4	10	4	17	12.5	12.5	WP_006794721.1	T
WP_006794722.1	1	3	1	3	2.5	2.5	WP_006794722.1	T
WP_006794723.1	4	13	8	21	14.1	14.1	WP_006794723.1	T
WP_006794726.1	4	7	5	9	9.0	9.0	WP_006794726.1	T
WP_006794756.1	3	4	3	5	4.0	4.0	WP_006794756.1	T
WP_006794854.1	1	4	1	5	5.0	5.0	WP_006794854.1	T
WP_006794858.1	21	22	27	28	27.5	27.5	WP_006794858.1	T
WP_006794871.1	1	5	1	7	7.0	7.0	WP_006794871.1	T
WP_006794890.1	2	7	2	8	5.5	5.5	WP_006794890.1	T
WP_006795592.1	1	3	1	4	3.5	3.5	WP_006795592.1	T
WP_006955519.1	1	2	1	3	2.0	2.0	WP_006955519.1	T
WP_006956431.1	1	4	1	4	1.75	1.75	WP_006956431.1	T
WP_006956704.1	1	4	1	15	7.0	7.0	WP_006956704.1	T
WP_006956842.1	3	18	5	49	18.0350241546	18.04	WP_006956842.1	T
WP_006956847.1	1	16	2	30	9.81666666667	9.82	WP_006956847.1	T
WP_007017025.1	1	2	1	2	1.5	1.5	WP_007017025.1	T
WP_007017028.1	1	2	6	7	7.0	7.0	WP_007017028.1	T
WP_007017508.1	1	6	2	12	3.92857142857	3.93	WP_007017508.1	T
WP_007017869.1	1	2	1	2	1.25	1.25	WP_007017869.1	T
WP_007019541.1	2	4	4	6	5.0	5.0	WP_007019541.1	T
WP_007020164.1	1	7	1	11	5.75	5.75	WP_007020164.1	T
WP_007020676.1	2	7	4	14	8.66666666667	8.67	WP_007020676.1	T
WP_007020749.1	1	4	1	4	2.5	2.5	WP_007020749.1	T
WP_007020850.1	1	3	1	3	2.0	2.0	WP_007020850.1	T
WP_007021374.1	1	2	1	3	2.0	2.0	WP_007021374.1	T
WP_007022376.1	1	9	1	11	3.41590909091	3.42	WP_007022376.1	T
WP_007092936.1	1	3	2	5	3.33333333333	3.33	WP_007092936.1	T
WP_007093624.1	1	2	1	2	2.0	2.0	WP_007093624.1	T
WP_007093667.1	1	4	1	5	3.0	3.0	WP_007093667.1	T
WP_007095558.1	1	2	1	2	2.0	2.0	WP_007095558.1	T
WP_007097043.1	1	25	1	42	11.3380952381	11.34	WP_007097043.1	T
WP_007197090.1	1	4	1	7	1.57391304348	1.57	WP_007197090.1	T
WP_007197135.1	1	4	1	4	1.7	1.7	WP_007197135.1	T
WP_008034202.1	2	2	2	2	2.0	2.0	WP_008034202.1	T
WP_008035425.1	1	2	1	3	2.0	2.0	WP_008035425.1	T
WP_008036223.1	1	2	1	2	2.0	2.0	WP_008036223.1	T
WP_008105804.1	1	6	1	8	1.53502415459	1.54	WP_008105804.1	T
WP_008105967.1	1	2	1	2	1.5	1.5	WP_008105967.1	T
WP_008106096.1	1	4	1	9	7.22222222222	7.22	WP_008106096.1	T
WP_008106434.1	7	16	14	26	20.0	20.0	WP_008106434.1	T
WP_008107242.1	1	3	1	5	3.0	3.0	WP_008107242.1	T
WP_008230749.1	1	2	1	2	1.5	1.5	WP_008230749.1	T
WP_008232572.1	1	5	1	5	4.0	4.0	WP_008232572.1	T
WP_008254470.1	1	2	1	2	2.0	2.0	WP_008254470.1	T
WP_008256583.1	1	11	1	39	7.38682513139	7.39	WP_008256583.1	T
WP_008271746.1	2	3	3	6	4.5	4.5	WP_008271746.1	T
WP_008544218.1	1	4	1	4	2.5	2.5	WP_008544218.1	T
WP_008545014.1	1	2	1	2	2.0	2.0	WP_008545014.1	T
WP_008545353.1	1	4	1	4	4.0	4.0	WP_008545353.1	T
WP_008546066.1	1	3	1	5	2.7	2.7	WP_008546066.1	T
WP_009781163.1	1	20	1	37	7.55476190476	7.55	WP_009781163.1	T
WP_009781171.1	1	13	1	52	12.0118251314	12.01	WP_009781171.1	T
WP_009831565.1	1	2	1	2	1.5	1.5	WP_009831565.1	T
WP_009831771.1	1	4	2	6	4.0	4.0	WP_009831771.1	T
WP_009831772.1	1	2	1	3	3.0	3.0	WP_009831772.1	T
WP_009831775.1	1	3	1	4	4.0	4.0	WP_009831775.1	T
WP_009831776.1	1	6	1	10	4.01666666667	4.02	WP_009831776.1	T
WP_009831937.1	1	7	4	33	12.0	12.0	WP_009831937.1	T
WP_009833026.1	1	6	1	8	5.16666666667	5.17	WP_009833026.1	T
WP_009833702.1	1	6	1	11	5.16666666667	5.17	WP_009833702.1	T
WP_009834164.1	1	6	2	13	9.8	9.8	WP_009834164.1	T
WP_009834442.1	1	5	1	8	4.5	4.5	WP_009834442.1	T
WP_009834467.1	2	2	5	5	5.0	5.0	WP_009834467.1	T
WP_009834604.1	1	12	1	15	5.60833333333	5.61	WP_009834604.1	T
WP_009834605.1	1	17	1	20	5.71035353535	5.71	WP_009834605.1	T
WP_009834618.1	1	2	1	2	1.5	1.5	WP_009834618.1	T
WP_009834619.1	1	5	1	6	3.25	3.25	WP_009834619.1	T
WP_009834620.1	1	2	1	2	1.33333333333	1.33	WP_009834620.1	T
WP_009834625.1	1	5	1	10	8.66666666667	8.67	WP_009834625.1	T
WP_009834690.1	1	5	1	7	3.66666666667	3.67	WP_009834690.1	T
WP_009834844.1	1	7	1	8	2.84090909091	2.84	WP_009834844.1	T
WP_009835507.1	1	2	1	2	1.5	1.5	WP_009835507.1	T
WP_009835749.1	1	4	1	7	6.0	6.0	WP_009835749.1	T
WP_009836147.1	3	7	6	13	9.5	9.5	WP_009836147.1	T
WP_009836250.1	1	3	1	3	2.5	2.5	WP_009836250.1	T
WP_009836389.1	1	2	2	3	2.5	2.5	WP_009836389.1	T
WP_009836568.1	2	2	2	2	2.0	2.0	WP_009836568.1	T
WP_009836569.1	3	3	3	3	3.0	3.0	WP_009836569.1	T
WP_009836670.1	1	2	1	2	2.0	2.0	WP_009836670.1	T
WP_009837190.1	2	2	2	2	2.0	2.0	WP_009837190.1	T
WP_009837279.1	1	2	1	2	1.5	1.5	WP_009837279.1	T
WP_009838586.1	1	3	2	4	4.0	4.0	WP_009838586.1	T
WP_009838801.1	1	2	1	3	2.0	2.0	WP_009838801.1	T
WP_009838829.1	1	5	1	6	2.83333333333	2.83	WP_009838829.1	T
WP_009838881.1	1	4	1	10	5.5	5.5	WP_009838881.1	T
