#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = /lustre/atlas1/bip108/proj-shared/Zhou/Project/OSU/OSU_T2B_FASP_Elite_08212013/output_AAhybrid_c100/OSU_T2B_FASP_Elite_08212013.psm.txt
#	
#	pep{Run1} = /lustre/atlas1/bip108/proj-shared/Zhou/Project/OSU/OSU_T2B_FASP_Elite_08212013/output_AAhybrid_c100/OSU_T2B_FASP_Elite_08212013.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 2
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 61
#	Target_Proteins_Before_Filtering = 5332
#	Total_Proteins_Before_Filtering = 5393
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 0
#	Target_Proteins_After_Filtering = 1147
#	Total_Proteins_After_Filtering = 1147
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.0
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
2504820187	1	3	1	4	4.0	4.0	2504820187	T
2504820392	1	5	1	6	4.5	4.5	2504820392	T
2504820405	1	2	1	3	3.0	3.0	2504820405	T
2504820407	1	3	1	3	2.0	2.0	2504820407	T
2504820415	1	2	1	2	2.0	2.0	2504820415	T
2504820981	1	3	1	3	3.0	3.0	2504820981	T
2504821030	2	5	2	6	4.5	4.5	2504821030	T
2504821091	2	3	2	3	3.0	3.0	2504821091	T
2504821274	2	3	4	5	4.5	4.5	2504821274	T
2504821384	1	5	1	5	5.0	5.0	2504821384	T
2504821521	1	2	1	2	2.0	2.0	2504821521	T
2504821649	1	24	1	26	13.9166666667	13.92	2504821649	T
2504821659	2	6	2	7	5.5	5.5	2504821659	T
2504821941	2	5	2	6	6.0	6.0	2504821941	T
2504822000	4	5	5	6	6.0	6.0	2504822000	T
2504822118	2	2	2	2	2.0	2.0	2504822118	T
2504822348	2	5	2	5	3.0	3.0	2504822348	T
2504822406	3	16	6	60	21.7833333333	21.78	2504822406	T
2504822420	1	6	1	10	8.5	8.5	2504822420	T
2504822710	1	2	2	3	3.0	3.0	2504822710	T
2504822913	3	19	3	26	18.2095238095	18.21	2504822913	T
2504822914	1	4	1	4	3.5	3.5	2504822914	T
WP_002702193.1	1	5	1	6	2.5	2.5	WP_002702193.1	T
WP_002957960.1	2	5	5	9	9.0	9.0	WP_002957960.1	T
WP_004155560.1	1	2	1	2	2.0	2.0	WP_004155560.1	T
WP_004568654.1	1	2	1	2	2.0	2.0	WP_004568654.1	T
WP_004568746.1	2	12	2	22	14.5833333333	14.58	WP_004568746.1	T
WP_004569044.1	1	3	2	5	5.0	5.0	WP_004569044.1	T
WP_004569882.1	1	2	1	2	1.33333333333	1.33	WP_004569882.1	T
WP_004570093.1	1	5	2	7	7.0	7.0	WP_004570093.1	T
WP_004571188.1	3	11	4	16	7.63333333333	7.63	WP_004571188.1	T
WP_005496133.1	1	2	1	2	2.0	2.0	WP_005496133.1	T
WP_005498096.1	1	3	1	3	1.66666666667	1.67	WP_005498096.1	T
WP_005499982.1	1	3	2	6	6.0	6.0	WP_005499982.1	T
WP_005500729.1	1	3	1	4	3.0	3.0	WP_005500729.1	T
WP_005501904.1	1	2	1	2	1.5	1.5	WP_005501904.1	T
WP_005502463.1	1	4	1	4	1.95	1.95	WP_005502463.1	T
WP_005503273.1	1	19	1	25	9.30652264402	9.31	WP_005503273.1	T
WP_005503530.1	1	2	1	3	1.66666666667	1.67	WP_005503530.1	T
WP_006791253.1	1	8	1	8	3.61904761905	3.62	WP_006791253.1	T
WP_006791259.1	3	24	5	30	14.1636655012	14.16	WP_006791259.1	T
WP_006791260.1	1	12	1	18	8.65	8.65	WP_006791260.1	T
WP_006791263.1	3	5	5	13	7.75	7.75	WP_006791263.1	T
WP_006791264.1	2	2	3	3	3.0	3.0	WP_006791264.1	T
WP_006791315.1	1	9	2	12	9.25	9.25	WP_006791315.1	T
